ID,Material,Vision Description Target,Project Idea,Difficulty,Time to Complete,Instructions
205,Tin Can,"tin can, metal cup, rigid cylinder, metallic can, empty food can",Modern Decorative Pencil Holder (Var.506),Easy,14 minutes,"1. Remove labels completely and thoroughly clean the tin can interior.
2. Measure a piece of vintage floral cloth to fit precisely around the exterior of the can.
3. Coat the entire can evenly in Mod Podge or strong craft glue.
4. Carefully wrap the covering around the can, smoothing out any trapped air bubbles.
5. Apply a glossy top coat of sealant to protect the finish."
206,Denim Jeans,"denim, blue jeans, torn jeans, fabric, blue cloth, heavy textile",Handcrafted Pocket Wall Organizer (Var.685),Intermediate,51 minutes,"1. Using sharp fabric scissors, carefully cut the back pockets out of 3-4 pairs of old jeans, leaving a small denim border around each.
2. Take a large, sturdy base fabric (like canvas) and arrange the pockets in a grid layout.
3. Using a sewing machine or strong needle and thread, securely stitch three sides of every pocket onto the base fabric.
4. Feed a rigid chopstick through a hem at the top of the canvas.
5. Hang the organizer on the wall to hold pens, scissors, or makeup brushes."
207,Egg Carton,"egg carton, cardboard egg tray, molded pulp, empty egg box",Aesthetic Biodegradable Seed Starters (Var.814),Easy,24 minutes,"1. Carefully cut the flat lid completely off a clean cardboard egg carton.
2. Fill each individual egg cup exactly half-full with a premium seed-starting potting mix.
3. Place exactly 1 to 2 Basil seeds tightly into each cup and cover with a little more loose soil.
4. Gently water the cups using a spray bottle and place them in a bright, sunny windowsill.
5. Once the resulting seedlings are large enough, use scissors to cut the cups apart and plant the entire cup directly into the garden soil (the cardboard will fully biodegrade!)."
208,Old T-Shirt,"fabric, t-shirt, cotton shirt, old clothing, cloth, textile fabric",Upcycled No-Sew Produce Bag (Var.171),Intermediate,39 minutes,"1. Lay the t-shirt completely flat on a table and cut off the sleeves and the neckline.
2. Turn the shirt inside out and heavily fringe the bottom hem with scissors, tying opposite pairs tightly into double knots.
3. Turn the shirt right-side out to hide the knots inside.
4. Using scissors, cut small 1-inch horizontal slits all over the body, staggered like a brick pattern.
5. Stretch the bag forcefully to open up the slits, instantly creating a breathable mesh."
209,Wood Pallet,"wood, pallet, wooden planks, timber, slatted wood, rustic boards",Handcrafted Vertical Succulent Garden (Var.937),Advanced,129 minutes,"1. Inspect the heavy wood pallet for any loose nails and rigorously sand down all rough spots.
2. Staple durable vintage floral cloth tightly to the back, bottom, and sides of the pallet to form a pocket.
3. Lay the pallet flat on the ground and pack it completely with high-quality potting soil.
4. Carefully plant Basil tightly into the exposed front slats.
5. Leave flat on the ground for exactly 2 weeks to let roots establish securely, then gently stand it up vertically against a wall."
210,Tin Can,"metal can, tin can, aluminum can, soup can, ridged metal cylinder",Eco-friendly Herb Garden Planter (Var.713),Easy,32 minutes,"1. Clean the tin can with soap and ensure there are perfectly smooth, no-sharp edges.
2. Use a hammer and a thick nail to punch 3-4 drainage holes in the bottom.
3. Paint the outside of the can with matte black acrylic paint and let it dry in a vented area.
4. Fill with fresh potting soil and plant your Fern."
211,Pencil Shavings,"wood shavings, pencil shavings, colored pencil tips, thin wood curves, tiny pencil fragments",Eco-friendly Pencil Shaving Texture Art (Var.776),Easy,25 minutes,"1. Collect dry, clean pencil shavings (specifically the curly, circular wooden ruffles that still have colored edges).
2. Sketch a simple but elegant base drawing on thick paper, like a majestic peacock.
3. Carefully apply standard liquid craft glue to the precise areas where you want 3D texture.
4. Carefully press the pencil shavings into the wet glue to flawlessly form layered petals, feathers, or textures.
5. Use fine-tip colored pencils to elegantly finish coloring the rest of the flat drawing."
212,Glass Jar,"glass jar, mason jar, clear glass container, empty jam jar, transparent cylinder",Minimalist Desktop Terrarium (Var.155),Intermediate,59 minutes,"1. Clean the glass jar until it is sparkling clean.
2. Add a 1-inch layer of glass marbles for drainage at the very bottom.
3. Add a thin layer of activated charcoal to keep the water fresh and prevent mold.
4. Add 2-3 inches of rich potting soil.
5. Carefully plant small humidity-loving plants like Succulent.
6. Mist lightly with a spray bottle and seal the jar tightly."
213,Glass Jar,"glass, jar, candle holder, transparent jar, empty pasta sauce jar",Rustic Rustic Tealight Holder (Var.865),Easy,12 minutes,"1. Remove any sticky labels from the glass jar using warm soapy water and a sponge.
2. Wrap hemp cord tightly around the neck of the jar 3-4 times and tie a neat bow.
3. Optional: Hot glue small dried chamomile to the wrapping for an aesthetic touch.
4. Place a standard tealight or small pillar candle inside the jar."
214,Newspaper,"paper, newspaper, newsprint, crumpled paper, torn pages, text printed paper",Rustic Paper Mache Decorative Bowl (Var.242),Intermediate,74 minutes,"1. Tear the newspaper cleanly into 1-inch wide vertical strips.
2. Mix 1 part white flour with 2 parts warm water to create a perfectly smooth paste.
3. Cover a glass or plastic bowl smoothly with plastic wrap (this will be your release mold).
4. Dip newspaper strips into the paste, squeegee off the excess with your fingers, and smoothly layer them over the outside of the bowl.
5. Apply exactly 4 varying layers. Let dry completely in a warm room for 24-48 hours, then pop the paper bowl off the mold and paint it glossy white."
215,CDs/DVDs,"cd, dvd, compact disc, shiny disc, optical disc, reflective circle",Aesthetic Iridescent Mosaic Coasters (Var.125),Intermediate,49 minutes,"1. Submerge the old CDs in boiling water for 3 minutes to soften the plastic.
2. Using heavy scissors, cut the softened disc into small, geometric mosaic tiles.
3. Take a blank wooden or cork coaster base and apply a thick layer of craft glue.
4. Arrange the shiny CD shards onto the coaster, leaving a small gap between each piece.
5. Once dry, fill the gaps with metallic gold paint filler and wipe the surface clean. Let it cure."
216,Old T-Shirt,"fabric, t-shirt, cotton shirt, old clothing, cloth, textile fabric",Eco-friendly No-Sew Produce Bag (Var.833),Intermediate,34 minutes,"1. Lay the t-shirt completely flat on a table and cut off the sleeves and the neckline.
2. Turn the shirt inside out and heavily fringe the bottom hem with scissors, tying opposite pairs tightly into double knots.
3. Turn the shirt right-side out to hide the knots inside.
4. Using scissors, cut small 1-inch horizontal slits all over the body, staggered like a brick pattern.
5. Stretch the bag forcefully to open up the slits, instantly creating a highly expanding mesh."
217,Egg Carton,"egg carton, cardboard egg tray, molded pulp, empty egg box",Dynamic Biodegradable Seed Starters (Var.394),Easy,21 minutes,"1. Carefully cut the flat lid completely off a clean cardboard egg carton.
2. Fill each individual egg cup exactly half-full with a premium seed-starting potting mix.
3. Place exactly 1 to 2 Basil seeds tightly into each cup and cover with a little more loose soil.
4. Gently water the cups using a spray bottle and place them in a bright, sunny windowsill.
5. Once the resulting seedlings are large enough, use scissors to cut the cups apart and plant the entire cup directly into the garden soil (the cardboard will fully biodegrade!)."
218,Tin Can,"tin can, metal cup, rigid cylinder, metallic can, empty food can",Premium Decorative Pencil Holder (Var.270),Easy,27 minutes,"1. Remove labels completely and thoroughly clean the tin can interior.
2. Measure a piece of geometric patterned paper to fit precisely around the exterior of the can.
3. Coat the entire can evenly in Mod Podge or strong craft glue.
4. Carefully wrap the covering around the can, smoothing out any trapped air bubbles.
5. Apply a glossy top coat of sealant to protect the finish."
219,Cardboard Box,"thick cardboard, corrugated board, brown paper box, large cardboard sheets",Rustic Cat Scratching Pad (Var.884),Intermediate,74 minutes,"1. Cut the thick cardboard box into long strips exactly 2-inches wide.
2. Take the first strip and roll it up as tightly as possible, securing the end with hot glue.
3. Take the next strip and continue rolling it around the first one, gluing as you go.
4. Continue winding outward until the circle is about 12 to 15 inches wide.
5. Generously sprinkle the top texture with catnip spray!"
220,Tin Can,"tin can, metal cup, rigid cylinder, metallic can, empty food can",Rustic Decorative Pencil Holder (Var.987),Easy,19 minutes,"1. Remove labels completely and thoroughly clean the tin can interior.
2. Measure a piece of burlap to fit precisely around the exterior of the can.
3. Coat the entire can evenly in Mod Podge or strong craft glue.
4. Carefully wrap the covering around the can, smoothing out any trapped air bubbles.
5. Apply a glossy top coat of sealant to protect the finish."
221,Coffee Grounds,"coffee grounds, wet brown powder, dirt-like powder, used espresso, dark organic waste",Boho Exfoliating Body Scrub (Var.709),Easy,13 minutes,"1. Collect 1 cup of completely cooled, used coffee grounds.
2. In a clean glass mixing bowl, combine the grounds with 1/2 cup of melted coconut oil.
3. Add 1/4 cup of coarse sea salt for extra exfoliation.
4. Optional: Add 5-10 drops of essential oil for fragrance.
5. Store the mixture in an airtight glass jar and use it in the shower to rejuvenate your skin."
222,Egg Carton,"egg carton, cardboard egg tray, molded pulp, empty egg box",Handcrafted Biodegradable Seed Starters (Var.456),Easy,7 minutes,"1. Carefully cut the flat lid completely off a clean cardboard egg carton.
2. Fill each individual egg cup exactly half-full with a premium seed-starting potting mix.
3. Place exactly 1 to 2 Succulent seeds tightly into each cup and cover with a little more loose soil.
4. Gently water the cups using a spray bottle and place them in a bright, sunny windowsill.
5. Once the resulting seedlings are large enough, use scissors to cut the cups apart and plant the entire cup directly into the garden soil (the cardboard will fully biodegrade!)."
223,Denim Jeans,"denim, blue jeans, torn jeans, fabric, blue cloth, heavy textile",Chic Pocket Wall Organizer (Var.380),Intermediate,49 minutes,"1. Using sharp fabric scissors, carefully cut the back pockets out of 3-4 pairs of old jeans, leaving a small denim border around each.
2. Take a large, sturdy base fabric (like canvas) and arrange the pockets in a grid layout.
3. Using a sewing machine or strong needle and thread, securely stitch three sides of every pocket onto the base fabric.
4. Feed a rigid chopstick through a hem at the top of the canvas.
5. Hang the organizer on the wall to hold pens, scissors, or keys and wallets."
224,Glass Jar,"glass jar, mason jar, clear glass container, empty jam jar, transparent cylinder",Modern Desktop Terrarium (Var.565),Intermediate,56 minutes,"1. Clean the glass jar until it is sparkling clean.
2. Add a 1-inch layer of glass marbles for drainage at the very bottom.
3. Add a thin layer of activated charcoal to keep the water fresh and prevent mold.
4. Add 2-3 inches of rich potting soil.
5. Carefully plant small humidity-loving plants like Rosemary.
6. Mist lightly with a spray bottle and seal the jar tightly."
225,Tin Can,"metal can, tin can, aluminum can, soup can, ridged metal cylinder",Eco-friendly Herb Garden Planter (Var.101),Easy,25 minutes,"1. Clean the tin can with soap and ensure there are perfectly smooth, no-sharp edges.
2. Use a hammer and a thick nail to punch 3-4 drainage holes in the bottom.
3. Paint the outside of the can with crimson red acrylic paint and let it dry in a vented area.
4. Fill with fresh potting soil and plant your Cilantro."
226,Plastic Bottle,"clear, plastic, empty, water bottle, crushed bottle, transparent plastic",Minimalist Self-Watering Planter (Var.301),Easy,29 minutes,"1. Cut the plastic bottle in half using utility scissors.
2. Invert the top half (with the cap off) and place it inside the bottom half.
3. Thread a piece of cotton string through the cap hole to act as a wick.
4. Fill the top half with soil and your Tomato.
5. Fill the bottom half with water. The string will pull water up to the soil!"
227,Denim Jeans,"denim, blue jeans, torn jeans, fabric, blue cloth, heavy textile",Eco-friendly Pocket Wall Organizer (Var.566),Intermediate,53 minutes,"1. Using sharp fabric scissors, carefully cut the back pockets out of 3-4 pairs of old jeans, leaving a small denim border around each.
2. Take a large, sturdy base fabric (like canvas) and arrange the pockets in a grid layout.
3. Using a sewing machine or strong needle and thread, securely stitch three sides of every pocket onto the base fabric.
4. Feed a rigid bamboo skewer through a hem at the top of the canvas.
5. Hang the organizer on the wall to hold pens, scissors, or makeup brushes."
228,Glass Jar,"glass, jar, candle holder, transparent jar, empty pasta sauce jar",Eco-friendly Rustic Tealight Holder (Var.358),Easy,14 minutes,"1. Remove any sticky labels from the glass jar using warm soapy water and a sponge.
2. Wrap baker's twine tightly around the neck of the jar 3-4 times and tie a neat bow.
3. Optional: Hot glue small dried eucalyptus leaves to the wrapping for an aesthetic touch.
4. Place a standard tealight or small pillar candle inside the jar."
229,Cardboard Box,"cardboard, brown box, corrugated cardboard, shipping box, folded carton",Minimalist Custom Drawer Organizers (Var.514),Easy,32 minutes,"1. Measure the exact height and internal width of your target drawer.
2. Cut the cardboard box into sturdy strips that perfectly match the drawer's height.
3. Cut vertical slits exactly halfway through the strips where you want them to intersect.
4. Slot the cardboard strips together like a grid.
5. Place the finished grid into your drawer to smoothly organize cables and chargers."
230,Tin Can,"tin can, metal cup, rigid cylinder, metallic can, empty food can",Rustic Decorative Pencil Holder (Var.402),Easy,15 minutes,"1. Remove labels completely and thoroughly clean the tin can interior.
2. Measure a piece of geometric patterned paper to fit precisely around the exterior of the can.
3. Coat the entire can evenly in Mod Podge or strong craft glue.
4. Carefully wrap the covering around the can, smoothing out any trapped air bubbles.
5. Apply a glossy top coat of sealant to protect the finish."
231,Wine Cork,"cork, wine cork, wooden stopper, cylinder corks, pile of corks",Dynamic Geometric Cork Board (Var.303),Intermediate,57 minutes,"1. Collect around 50-100 clean wine corks.
2. Find an old picture frame, remove the backing, and discard the glass pane entirely.
3. Arrange the corks tightly inside the frame to ensure they fit. Arrange them in a stylish herringbone pattern.
4. Use industrial hot glue to individually secure each cork heavily to the hard backing board of the frame.
5. Hang permanently on the wall and use pushpins to attach important notes, shopping lists, and memories."
232,CDs/DVDs,"cd, dvd, compact disc, shiny disc, optical disc, reflective circle",Boho Iridescent Mosaic Coasters (Var.221),Intermediate,57 minutes,"1. Submerge the old CDs in boiling water for 3 minutes to soften the plastic.
2. Using heavy scissors, cut the softened disc into small, geometric mosaic tiles.
3. Take a blank wooden or cork coaster base and apply a thick layer of craft glue.
4. Arrange the shiny CD shards onto the coaster, leaving a small gap between each piece.
5. Once dry, fill the gaps with clear epoxy resin and wipe the surface clean. Let it cure."
233,Denim Jeans,"denim, blue jeans, torn jeans, fabric, blue cloth, heavy textile",Rustic Pocket Wall Organizer (Var.672),Intermediate,59 minutes,"1. Using sharp fabric scissors, carefully cut the back pockets out of 3-4 pairs of old jeans, leaving a small denim border around each.
2. Take a large, sturdy base fabric (like canvas) and arrange the pockets in a grid layout.
3. Using a sewing machine or strong needle and thread, securely stitch three sides of every pocket onto the base fabric.
4. Feed a rigid wooden dowel through a hem at the top of the canvas.
5. Hang the organizer on the wall to hold pens, scissors, or office supplies."
234,Newspaper,"paper, newspaper, newsprint, crumpled paper, torn pages, text printed paper",Eco-friendly Paper Mache Decorative Bowl (Var.530),Intermediate,71 minutes,"1. Tear the newspaper cleanly into 1-inch wide vertical strips.
2. Mix 1 part white flour with 2 parts warm water to create a perfectly smooth paste.
3. Cover a glass or plastic bowl smoothly with plastic wrap (this will be your release mold).
4. Dip newspaper strips into the paste, squeegee off the excess with your fingers, and smoothly layer them over the outside of the bowl.
5. Apply exactly 4 varying layers. Let dry completely in a warm room for 24-48 hours, then pop the paper bowl off the mold and paint it matte black."
235,Egg Carton,"egg carton, cardboard egg tray, molded pulp, empty egg box",Aesthetic Biodegradable Seed Starters (Var.484),Easy,9 minutes,"1. Carefully cut the flat lid completely off a clean cardboard egg carton.
2. Fill each individual egg cup exactly half-full with a premium seed-starting potting mix.
3. Place exactly 1 to 2 Pothos seeds tightly into each cup and cover with a little more loose soil.
4. Gently water the cups using a spray bottle and place them in a bright, sunny windowsill.
5. Once the resulting seedlings are large enough, use scissors to cut the cups apart and plant the entire cup directly into the garden soil (the cardboard will fully biodegrade!)."
236,Pencil Shavings,"wood shavings, pencil shavings, colored pencil tips, thin wood curves, tiny pencil fragments",Premium Pencil Shaving Texture Art (Var.120),Easy,21 minutes,"1. Collect dry, clean pencil shavings (specifically the curly, circular wooden ruffles that still have colored edges).
2. Sketch a simple but elegant base drawing on thick paper, like a majestic peacock.
3. Carefully apply standard liquid craft glue to the precise areas where you want 3D texture.
4. Carefully press the pencil shavings into the wet glue to flawlessly form layered petals, feathers, or textures.
5. Use fine-tip colored pencils to elegantly finish coloring the rest of the flat drawing."
237,Glass Jar,"glass jar, mason jar, clear glass container, empty jam jar, transparent cylinder",Minimalist Desktop Terrarium (Var.675),Intermediate,41 minutes,"1. Clean the glass jar until it is sparkling clean.
2. Add a 1-inch layer of river pebbles for drainage at the very bottom.
3. Add a thin layer of activated charcoal to keep the water fresh and prevent mold.
4. Add 2-3 inches of rich potting soil.
5. Carefully plant small humidity-loving plants like Pothos.
6. Mist lightly with a spray bottle and seal the jar tightly."
238,Cardboard Box,"cardboard, brown box, corrugated cardboard, shipping box, folded carton",Minimalist Custom Drawer Organizers (Var.715),Easy,34 minutes,"1. Measure the exact height and internal width of your target drawer.
2. Cut the cardboard box into sturdy strips that perfectly match the drawer's height.
3. Cut vertical slits exactly halfway through the strips where you want them to intersect.
4. Slot the cardboard strips together like a grid.
5. Place the finished grid into your drawer to smoothly organize cables and chargers."
239,Wood Pallet,"wood, pallet, wooden planks, timber, slatted wood, rustic boards",Eco-friendly Vertical Succulent Garden (Var.832),Advanced,129 minutes,"1. Inspect the heavy wood pallet for any loose nails and rigorously sand down all rough spots.
2. Staple durable geometric patterned paper tightly to the back, bottom, and sides of the pallet to form a pocket.
3. Lay the pallet flat on the ground and pack it completely with high-quality potting soil.
4. Carefully plant Rosemary tightly into the exposed front slats.
5. Leave flat on the ground for exactly 2 weeks to let roots establish securely, then gently stand it up vertically against a wall."
240,Egg Carton,"egg carton, cardboard egg tray, molded pulp, empty egg box",Upcycled Biodegradable Seed Starters (Var.133),Easy,9 minutes,"1. Carefully cut the flat lid completely off a clean cardboard egg carton.
2. Fill each individual egg cup exactly half-full with a premium seed-starting potting mix.
3. Place exactly 1 to 2 Aloe Vera seeds tightly into each cup and cover with a little more loose soil.
4. Gently water the cups using a spray bottle and place them in a bright, sunny windowsill.
5. Once the resulting seedlings are large enough, use scissors to cut the cups apart and plant the entire cup directly into the garden soil (the cardboard will fully biodegrade!)."
241,Old T-Shirt,"torn fabric, t-shirt, strips of cloth, cotton fabric, colorful shirt",Modern Braided Dog Tug Toy (Var.950),Easy,22 minutes,"1. Cut the old t-shirt vertically into long strips, exactly 1 to 2 inches wide.
2. Gather 3 thick strips together and tie an incredibly tight knot at one end.
3. Braid the three strips together as tightly as humanly possible.
4. Tie another extremely strong knot at the opposite end to seal the braid.
5. Trim the excess fabric past the knots to create fun tassels for your giant dog."
242,Wine Cork,"cork, wine cork, wooden stopper, cylinder corks, pile of corks",Bespoke Geometric Cork Board (Var.538),Intermediate,47 minutes,"1. Collect around 50-100 clean wine corks.
2. Find an old picture frame, remove the backing, and discard the glass pane entirely.
3. Arrange the corks tightly inside the frame to ensure they fit. Arrange them in a stylish vertical linear pattern.
4. Use industrial hot glue to individually secure each cork heavily to the hard backing board of the frame.
5. Hang permanently on the wall and use pushpins to attach important notes, shopping lists, and memories."
243,Tin Can,"tin can, metal cup, rigid cylinder, metallic can, empty food can",Eco-friendly Decorative Pencil Holder (Var.154),Easy,30 minutes,"1. Remove labels completely and thoroughly clean the tin can interior.
2. Measure a piece of geometric patterned paper to fit precisely around the exterior of the can.
3. Coat the entire can evenly in Mod Podge or strong craft glue.
4. Carefully wrap the covering around the can, smoothing out any trapped air bubbles.
5. Apply a glossy top coat of sealant to protect the finish."
244,Cardboard Box,"thick cardboard, corrugated board, brown paper box, large cardboard sheets",Minimalist Cat Scratching Pad (Var.828),Intermediate,75 minutes,"1. Cut the thick cardboard box into long strips exactly 2-inches wide.
2. Take the first strip and roll it up as tightly as possible, securing the end with hot glue.
3. Take the next strip and continue rolling it around the first one, gluing as you go.
4. Continue winding outward until the circle is about 12 to 15 inches wide.
5. Generously sprinkle the top texture with silvervine powder!"
245,Coffee Grounds,"coffee grounds, wet brown powder, dirt-like powder, used espresso, dark organic waste",Aesthetic Exfoliating Body Scrub (Var.122),Easy,6 minutes,"1. Collect 1 cup of completely cooled, used coffee grounds.
2. In a clean glass mixing bowl, combine the grounds with 1/2 cup of melted shea butter.
3. Add 1/4 cup of coarse raw cane sugar for extra exfoliation.
4. Optional: Add 5-10 drops of essential oil for fragrance.
5. Store the mixture in an airtight glass jar and use it in the shower to rejuvenate your skin."
246,Tin Can,"metal can, tin can, aluminum can, soup can, ridged metal cylinder",Eco-friendly Herb Garden Planter (Var.965),Easy,17 minutes,"1. Clean the tin can with soap and ensure there are perfectly smooth, no-sharp edges.
2. Use a hammer and a thick nail to punch 3-4 drainage holes in the bottom.
3. Paint the outside of the can with vibrant yellow acrylic paint and let it dry in a vented area.
4. Fill with fresh potting soil and plant your Thyme."
247,Newspaper,"paper, newspaper, newsprint, crumpled paper, torn pages, text printed paper",Modern Paper Mache Decorative Bowl (Var.711),Intermediate,71 minutes,"1. Tear the newspaper cleanly into 1-inch wide vertical strips.
2. Mix 1 part white flour with 2 parts warm water to create a perfectly smooth paste.
3. Cover a glass or plastic bowl smoothly with plastic wrap (this will be your release mold).
4. Dip newspaper strips into the paste, squeegee off the excess with your fingers, and smoothly layer them over the outside of the bowl.
5. Apply exactly 4 varying layers. Let dry completely in a warm room for 24-48 hours, then pop the paper bowl off the mold and paint it matte black."
248,Glass Jar,"glass, jar, candle holder, transparent jar, empty pasta sauce jar",Modern Rustic Tealight Holder (Var.423),Easy,8 minutes,"1. Remove any sticky labels from the glass jar using warm soapy water and a sponge.
2. Wrap baker's twine tightly around the neck of the jar 3-4 times and tie a neat bow.
3. Optional: Hot glue small dried lavender to the wrapping for an aesthetic touch.
4. Place a standard tealight or small pillar candle inside the jar."
249,Pencil Shavings,"wood shavings, pencil shavings, colored pencil tips, thin wood curves, tiny pencil fragments",Handcrafted Pencil Shaving Texture Art (Var.949),Easy,17 minutes,"1. Collect dry, clean pencil shavings (specifically the curly, circular wooden ruffles that still have colored edges).
2. Sketch a simple but elegant base drawing on thick paper, like a butterfly.
3. Carefully apply standard liquid craft glue to the precise areas where you want 3D texture.
4. Carefully press the pencil shavings into the wet glue to flawlessly form layered petals, feathers, or textures.
5. Use fine-tip colored pencils to elegantly finish coloring the rest of the flat drawing."
250,Newspaper,"paper, newspaper, newsprint, crumpled paper, torn pages, text printed paper",Aesthetic Paper Mache Decorative Bowl (Var.180),Intermediate,67 minutes,"1. Tear the newspaper cleanly into 1-inch wide vertical strips.
2. Mix 1 part white flour with 2 parts warm water to create a perfectly smooth paste.
3. Cover a glass or plastic bowl smoothly with plastic wrap (this will be your release mold).
4. Dip newspaper strips into the paste, squeegee off the excess with your fingers, and smoothly layer them over the outside of the bowl.
5. Apply exactly 4 varying layers. Let dry completely in a warm room for 24-48 hours, then pop the paper bowl off the mold and paint it vibrant yellow."
251,Old T-Shirt,"torn fabric, t-shirt, strips of cloth, cotton fabric, colorful shirt",Rustic Braided Dog Tug Toy (Var.877),Easy,27 minutes,"1. Cut the old t-shirt vertically into long strips, exactly 1 to 2 inches wide.
2. Gather 3 thick strips together and tie an incredibly tight knot at one end.
3. Braid the three strips together as tightly as humanly possible.
4. Tie another extremely strong knot at the opposite end to seal the braid.
5. Trim the excess fabric past the knots to create fun tassels for your small dog."
252,Cardboard Box,"cardboard, brown box, corrugated cardboard, shipping box, folded carton",Upcycled Custom Drawer Organizers (Var.369),Easy,28 minutes,"1. Measure the exact height and internal width of your target drawer.
2. Cut the cardboard box into sturdy strips that perfectly match the drawer's height.
3. Cut vertical slits exactly halfway through the strips where you want them to intersect.
4. Slot the cardboard strips together like a grid.
5. Place the finished grid into your drawer to smoothly organize jewelry."
253,Newspaper,"paper, newspaper, newsprint, crumpled paper, torn pages, text printed paper",Modern Paper Mache Decorative Bowl (Var.571),Intermediate,56 minutes,"1. Tear the newspaper cleanly into 1-inch wide vertical strips.
2. Mix 1 part white flour with 2 parts warm water to create a perfectly smooth paste.
3. Cover a glass or plastic bowl smoothly with plastic wrap (this will be your release mold).
4. Dip newspaper strips into the paste, squeegee off the excess with your fingers, and smoothly layer them over the outside of the bowl.
5. Apply exactly 4 varying layers. Let dry completely in a warm room for 24-48 hours, then pop the paper bowl off the mold and paint it glossy white."
254,Plastic Bottle,"clear, plastic, empty, water bottle, crushed bottle, transparent plastic",Eco-friendly Self-Watering Planter (Var.583),Easy,18 minutes,"1. Cut the plastic bottle in half using utility scissors.
2. Invert the top half (with the cap off) and place it inside the bottom half.
3. Thread a piece of cotton string through the cap hole to act as a wick.
4. Fill the top half with soil and your Rosemary.
5. Fill the bottom half with water. The string will pull water up to the soil!"
255,Old T-Shirt,"fabric, t-shirt, cotton shirt, old clothing, cloth, textile fabric",Chic No-Sew Produce Bag (Var.287),Intermediate,30 minutes,"1. Lay the t-shirt completely flat on a table and cut off the sleeves and the neckline.
2. Turn the shirt inside out and heavily fringe the bottom hem with scissors, tying opposite pairs tightly into double knots.
3. Turn the shirt right-side out to hide the knots inside.
4. Using scissors, cut small 1-inch horizontal slits all over the body, staggered like a brick pattern.
5. Stretch the bag forcefully to open up the slits, instantly creating a flexible mesh."
256,Glass Jar,"glass jar, mason jar, clear glass container, empty jam jar, transparent cylinder",Modern Desktop Terrarium (Var.672),Intermediate,42 minutes,"1. Clean the glass jar until it is sparkling clean.
2. Add a 1-inch layer of glass marbles for drainage at the very bottom.
3. Add a thin layer of activated charcoal to keep the water fresh and prevent mold.
4. Add 2-3 inches of rich potting soil.
5. Carefully plant small humidity-loving plants like Rosemary.
6. Mist lightly with a spray bottle and seal the jar tightly."
257,Cardboard Box,"cardboard, brown box, corrugated cardboard, shipping box, folded carton",Aesthetic Custom Drawer Organizers (Var.209),Easy,36 minutes,"1. Measure the exact height and internal width of your target drawer.
2. Cut the cardboard box into sturdy strips that perfectly match the drawer's height.
3. Cut vertical slits exactly halfway through the strips where you want them to intersect.
4. Slot the cardboard strips together like a grid.
5. Place the finished grid into your drawer to smoothly organize office supplies."
258,Wine Cork,"cork, wine cork, wooden stopper, cylinder corks, pile of corks",Aesthetic Geometric Cork Board (Var.412),Intermediate,45 minutes,"1. Collect around 50-100 clean wine corks.
2. Find an old picture frame, remove the backing, and discard the glass pane entirely.
3. Arrange the corks tightly inside the frame to ensure they fit. Arrange them in a stylish horizontal linear pattern.
4. Use industrial hot glue to individually secure each cork heavily to the hard backing board of the frame.
5. Hang permanently on the wall and use pushpins to attach important notes, shopping lists, and memories."
259,Tin Can,"metal can, tin can, aluminum can, soup can, ridged metal cylinder",Minimalist Herb Garden Planter (Var.475),Easy,32 minutes,"1. Clean the tin can with soap and ensure there are perfectly smooth, no-sharp edges.
2. Use a hammer and a thick nail to punch 3-4 drainage holes in the bottom.
3. Paint the outside of the can with matte black acrylic paint and let it dry in a vented area.
4. Fill with fresh potting soil and plant your Spider Plant."
260,Tin Can,"tin can, metal cup, rigid cylinder, metallic can, empty food can",Aesthetic Decorative Pencil Holder (Var.775),Easy,20 minutes,"1. Remove labels completely and thoroughly clean the tin can interior.
2. Measure a piece of geometric patterned paper to fit precisely around the exterior of the can.
3. Coat the entire can evenly in Mod Podge or strong craft glue.
4. Carefully wrap the covering around the can, smoothing out any trapped air bubbles.
5. Apply a glossy top coat of sealant to protect the finish."
261,Denim Jeans,"denim, blue jeans, torn jeans, fabric, blue cloth, heavy textile",Handcrafted Pocket Wall Organizer (Var.773),Intermediate,50 minutes,"1. Using sharp fabric scissors, carefully cut the back pockets out of 3-4 pairs of old jeans, leaving a small denim border around each.
2. Take a large, sturdy base fabric (like canvas) and arrange the pockets in a grid layout.
3. Using a sewing machine or strong needle and thread, securely stitch three sides of every pocket onto the base fabric.
4. Feed a rigid chopstick through a hem at the top of the canvas.
5. Hang the organizer on the wall to hold pens, scissors, or crafting tools."
262,CDs/DVDs,"cd, dvd, compact disc, shiny disc, optical disc, reflective circle",Upcycled Iridescent Mosaic Coasters (Var.794),Intermediate,46 minutes,"1. Submerge the old CDs in boiling water for 3 minutes to soften the plastic.
2. Using heavy scissors, cut the softened disc into small, geometric mosaic tiles.
3. Take a blank wooden or cork coaster base and apply a thick layer of craft glue.
4. Arrange the shiny CD shards onto the coaster, leaving a small gap between each piece.
5. Once dry, fill the gaps with white tile grout and wipe the surface clean. Let it cure."
